corpus_size;modelo;tamanho_contexto;categoria;qtde_total;qtde_analisada;qtde_fora_dicionario;qtde_fora_ranking;mse;rmsd
5100000;skip-gram;8;gram6-nationality-adjective;1599;1371;228;0;0.001680;0.040986
5100000;skip-gram;8;gram7-past-tense;1560;1156;78;326;0.006626;0.081399
5100000;skip-gram;8;gram8-plural;1332;1020;210;102;0.008097;0.089982
5100000;skip-gram;8;gram9-plural-verbs;870;580;168;122;0.008306;0.091136
5100000;skip-gram;8;TOTAL;19544;11637;6118;1789;0.006704;0.081878
5100000;cbow;10;capital-common-countries;506;458;44;4;0.005392;0.073433
5100000;cbow;10;capital-world;4524;1822;2645;57;0.007729;0.087916
5100000;cbow;10;currency;866;225;528;113;0.017511;0.132331
5100000;cbow;10;city-in-state;2467;1685;541;241;0.011524;0.107352
5100000;cbow;10;family;506;323;164;19;0.004243;0.065136
5100000;cbow;10;gram1-adjective-to-adverb;992;418;290;284;0.017232;0.131271
5100000;cbow;10;gram2-opposite;812;166;432;214;0.015400;0.124098
5100000;cbow;10;gram3-comparative;1332;1137;142;53;0.004309;0.065643
5100000;cbow;10;gram4-superlative;1122;539;522;61;0.010648;0.103188
5100000;cbow;10;gram5-present-participle;1056;769;126;161;0.009471;0.097320
5100000;cbow;10;gram6-nationality-adjective;1599;1366;228;5;0.003892;0.062390
5100000;cbow;10;gram7-past-tense;1560;1239;78;243;0.010371;0.101837
5100000;cbow;10;gram8-plural;1332;1060;210;62;0.009387;0.096885
5100000;cbow;10;gram9-plural-verbs;870;599;168;103;0.009248;0.096166
5100000;cbow;10;TOTAL;19544;11806;6118;1620;0.008692;0.093231
5100000;skip-gram;10;capital-common-countries;506;462;44;0;0.001028;0.032059
5100000;skip-gram;10;capital-world;4524;1838;2645;41;0.004871;0.069791
5100000;skip-gram;10;currency;866;256;528;82;0.011211;0.105884
5100000;skip-gram;10;city-in-state;2467;1720;541;206;0.007618;0.087280
5100000;skip-gram;10;family;506;322;164;20;0.007123;0.084398
5100000;skip-gram;10;gram1-adjective-to-adverb;992;431;290;271;0.011648;0.107924
5100000;skip-gram;10;gram2-opposite;812;173;432;207;0.012834;0.113289
5100000;skip-gram;10;gram3-comparative;1332;1095;142;95;0.006886;0.082983
5100000;skip-gram;10;gram4-superlative;1122;518;522;82;0.011078;0.105250
5100000;skip-gram;10;gram5-present-participle;1056;698;126;232;0.011941;0.109277
5100000;skip-gram;10;gram6-nationality-adjective;1599;1369;228;2;0.001751;0.041851
5100000;skip-gram;10;gram7-past-tense;1560;1206;78;276;0.007110;0.084323
5100000;skip-gram;10;gram8-plural;1332;1004;210;118;0.007786;0.088238
5100000;skip-gram;10;gram9-plural-verbs;870;576;168;126;0.008174;0.090411
5100000;skip-gram;10;TOTAL;19544;11668;6118;1758;0.006860;0.082827
5100000;cbow;12;capital-common-countries;506;460;44;2;0.005862;0.076566
5100000;cbow;12;capital-world;4524;1834;2645;45;0.007909;0.088931
5100000;cbow;12;currency;866;248;528;90;0.019119;0.138273
5100000;cbow;12;city-in-state;2467;1659;541;267;0.010985;0.104810
5100000;cbow;12;family;506;322;164;20;0.005512;0.074241
5100000;cbow;12;gram1-adjective-to-adverb;992;389;290;313;0.015331;0.123818
5100000;cbow;12;gram2-opposite;812;175;432;205;0.016697;0.129218
5100000;cbow;12;gram3-comparative;1332;1134;142;56;0.004508;0.067140
5100000;cbow;12;gram4-superlative;1122;557;522;43;0.011486;0.107175
5100000;cbow;12;gram5-present-participle;1056;775;126;155;0.009648;0.098222
5100000;cbow;12;gram6-nationality-adjective;1599;1347;228;24;0.002900;0.053854
5100000;cbow;12;gram7-past-tense;1560;1246;78;236;0.010796;0.103905
5100000;cbow;12;gram8-plural;1332;1051;210;71;0.009083;0.095307
5100000;cbow;12;gram9-plural-verbs;870;587;168;115;0.009806;0.099023
5100000;cbow;12;TOTAL;19544;11784;6118;1642;0.008696;0.093253
5100000;skip-gram;12;capital-common-countries;506;462;44;0;0.001084;0.032921
5100000;skip-gram;12;capital-world;4524;1837;2645;42;0.004678;0.068398
5100000;skip-gram;12;currency;866;256;528;82;0.012043;0.109742
5100000;skip-gram;12;city-in-state;2467;1741;541;185;0.008005;0.089470
5100000;skip-gram;12;family;506;319;164;23;0.007284;0.085347
5100000;skip-gram;12;gram1-adjective-to-adverb;992;443;290;259;0.011942;0.109280
5100000;skip-gram;12;gram2-opposite;812;188;432;192;0.014258;0.119405
5100000;skip-gram;12;gram3-comparative;1332;1098;142;92;0.006980;0.083544
5100000;skip-gram;12;gram4-superlative;1122;500;522;100;0.012336;0.111067
5100000;skip-gram;12;gram5-present-participle;1056;697;126;233;0.012544;0.111998
5100000;skip-gram;12;gram6-nationality-adjective;1599;1369;228;2;0.001932;0.043959
